1,アオリイカ,,,
1,アカオビハナダイ,,,
1,アカクラゲ,,,
1,アカスジイソハゼ,,,
1,アカテンモチノウオ,,,捕食するときは横になる
1,アカテンモチノウオ(幼魚),,,成魚はタオではあまりみない
1,アカハタ,,,
1,アカホシイソハゼ,,,
1,アカマダラハタ,,,
1,アカマツカサ,,,
1,アカミシキリ,,,なまこの一種
1,アズキハタ,,,
1,アトヒキテンジクダイダマシ,,,
1,アヤメエビス,,,
1,イエローテールチューブリップ,Yellowtail tubelip,,
1,イエローバンドフュージュラー,Yellowband fusiler,,
1,イソスズメダイ,,,
1,イトマンクロユリハゼ,,,
1,イトマンヒメユリハゼ,,,イトマン+ヒメユリハゼ。勝手な名前。図鑑でhitしない。
1,イバラカンザシ,クリスマスツリーワーム／Christmastreewarm,,ゴカイの一種　コブハナサンゴに住むことが多い
1,イボイソバナガニ,,,鼻が長いのがオス
1,ウミキノコ,,,裏側にハゼがいることあり!
1,エルニドユカタハタ,,,
1,エンペラーフィッシュ,Empelor　fish,,日本にいないフエダイの仲間 
1,オオイカリナマコ,,,
1,オオウミウマ,,,
1,オオウミウマ（幼魚）,,,
1,オオカマス,ソートゥースバラクーダ／Sawtooth　baracuda,,
1,オオクチイケカツオ,,,
1,オオモンハタ,,,
1,オオモンハタ（幼魚）,,,
1,オキザヨリ,,,
1,オシャレカクレエビ,,,
1,オジロトラギス,,,天ぷらがうまい。スネ夫に似てる
1,オトヒメエビ,,,
1,オトメハゼ,,,
1,オトメベラ,,,
1,オドリカクレエビ,,,
1,オニカマス,,,
1,オニハゼ,,,砂の色で体色が変わる
1,オニヒトデ,,,
1,オビイシヨウジ,,,
1,オヤビッチャ,,,
1,カエルウオ,,,ベラ
1,カザリキュウセン,,,
1,カスミヤライイシモチ,,,
1,カスリヘビギンポ,,,
1,カッチュウソウ,,,白いサンゴについているポチポチ
1,ガラスハゼ,,,
1,カンザシヤドカリ,,,
1,キイロイボウミウシ,,,
1,キイロイロイボウミウシ,,,
1,キクメイシ,,,サンゴの一種
1,ギチベラ,,,黄色or黒or灰色など色彩変異の魚
1,キツネフエダイ,,,
1,キツネフエフキ,,,
1,キハッソク,,,世界では珍しい。皮膚に毒あり
1,キビレブダイ,,,
1,ギンガハゼ（黄色固体）,,,
1,ギンガハゼ,,,
1,ギンガメアジ,,,
1,キンセンイシモチ,,,
1,キンセンフエダイ,,,
1,クチヒゲオトメウミウシ,,,
1,クラカオスズメダイ,,,
1,クリーナーパイプフィッシュ,Cleener pipefish,,
1,グリーンクロミス,Green Chromith,ダスキークロミス,
1,クリプトセントロス,,,イトヒキハゼの仲間
1,クロウミウマ,,,
1,クロオビハゼ,,,
1,クロコショウダイ,,,
1,クロスジイソハゼ,,,
1,クロナマコ,,,
1,クロヒトデ,,,
1,クロヘリイトヒキベラ,,,
1,クロヘリイトヒキベラ（幼魚）,,,
1,クロホシフエダイ,,,
1,クロリボンスズメダイ,,,
1,コイボイボウミウシ,,,
1,コイボウミウシ,,,
1,コガネアジ,,,
1,コガネシマアジ,,,
1,コバンアジ,,,
1,コバンヒメジ,,,
1,コブハマサンゴ,,,
1,ゴマアイゴ,,,最高級魚で美味しい(刺身もいける高級魚)
1,ゴマフエダイ,,,
1,ゴマモンガラ,トリガーフィッシュ／Triggerfish,,
1,コモンヤドカリ,,,
1,コモンヤドカリ（子供）,,,
1,コロダイ,,,
1,コロダイ（幼魚）,,,
1,ゴンズイ,,,
1,ゴンズイ（幼魚）,,,
1,ササムロ,,,沖縄でいうグルクン
1,サバヒー,,,
1,サビウツボ,,,白目の大きい／黒目が小さい
1,サラサハゼ,,,黒色個体もいる
1,サラサハゼ（幼魚),,,
1,サンゴアイゴ,,,
1,サンゴガニ,,,
1,シカクナマコ,,,
1,シチセンムスメベラ（幼魚）,,,
1,シノビハゼ,,,
1,シマスズメダイ,,,
1,シマタレクチベラ,,,
1,ジャヴァラビットフィッシュ,Javarabbitfish,,アイゴ科
1,ジュウモンジサラサハゼ,,,
1,シリキルリスズメダイ,,,
1,シリキルリスズメダイ（幼魚）,,,
1,シンジュタマガシラ,,,イトヨリダイ科
1,シンジュタマガシラ(幼魚),,,
1,スケロクウミタケハゼ,,,
1,スザクサラサエビ,,,ウニの近くに住んでいる
1,スジアラ,,,
1,スジアラ（幼魚）,,,
